,fileid,cluster,journal,subject
582,g1.globo.com___politica_noticia_2019_08_07_camara-rejeita-destaques-e-aprova-reforma-da-previdencia-em-2o-turno-texto-vai-ao-senado.ghtml.txt,2,g1,reforma-previdencia
583,g1.globo.com___politica_noticia_2019_08_15_votacao-da-reforma-da-previdencia-no-senado-e-adiada-em-uma-semana.ghtml.txt,2,g1,reforma-previdencia
584,g1.globo.com___politica_noticia_2019_08_20_ccj-do-senado-comeca-debates-sobre-reforma-da-previdencia.ghtml.txt,2,g1,reforma-previdencia
585,g1.globo.com___politica_noticia_2019_09_23_alcolumbre-convoca-sessao-do-congresso-e-adia-reforma-da-previdencia-para-quarta-feira.ghtml.txt,2,g1,reforma-previdencia
586,g1.globo.com___politica_noticia_2019_10_01_reforma-da-previdencia-ccj-aprova-relatorio-e-texto-segue-para-o-plenario-do-senado.ghtml.txt,2,g1,reforma-previdencia
587,g1.globo.com___politica_noticia_2019_10_23_relator-no-stf-vota-contra-prisao-apos-condenacao-em-segunda-instancia-e-a-favor-de-liberar-presos.ghtml.txt,3,g1,soltura-lula
588,g1.globo.com___politica_noticia_2019_10_23_supremo-suspende-sessao-com-tres-votos-a-um-a-favor-da-prisao-apos-condenacao-em-2a-instancia.ghtml.txt,3,g1,soltura-lula
589,g1.globo.com___politica_noticia_2019_11_06_previdencia-senado-aprova-em-1o-turno-texto-base-da-pec-que-inclui-estados-e-municipios-na-reforma.ghtml.txt,2,g1,reforma-previdencia
590,g1.globo.com___politica_noticia_2019_11_09_cidades-tem-manifestacoes-contra-decisao-do-stf-sobre-prisao-apos-condenacao-em-segunda-instancia.ghtml.txt,5,g1,soltura-lula
591,g1.globo.com___politica_noticia_2019_12_10_pesquisa-datafolha-aponta-que-54percent-consideram-justa-e-42percent-injusta-a-libertacao-de-lula.ghtml.txt,5,g1,soltura-lula
592,g1.globo.com___politica_noticia_ao-stf-dodge-defende-prisao-apos-2-instancia-e-diz-que-revisao-da-medida-poe-em-xeque-seriedade-do-sistema-juridico.ghtml.txt,3,g1,prisao-lula
593,g1.globo.com___politica_noticia_apos-sessao-tumultuada-senado-aprova-texto-base-da-reforma-trabalhista.ghtml.txt,4,g1,reforma-trabalhista
594,g1.globo.com___politica_noticia_audio-aecio-e-joesley-batista-acertam-pagamento-de-r-2-milhoes.ghtml.txt,0,g1,afastamento-aecio
595,g1.globo.com___politica_noticia_camara-aprova-texto-base-da-reforma-trabalhista.ghtml.txt,4,g1,reforma-trabalhista
596,g1.globo.com___politica_noticia_cinco-senadores-assinam-recurso-para-desarquivar-pedido-de-cassacao-de-aecio.ghtml.txt,0,g1,afastamento-aecio
597,g1.globo.com___politica_noticia_comandante-do-exercito-diz-que-compartilha-anseio-de-repudio-a-impunidade.ghtml.txt,5,g1,prisao-lula
598,g1.globo.com___politica_noticia_decisao-do-afastamento-do-senador-aecio-neves-veja-perguntas-e-respostas.ghtml.txt,0,g1,afastamento-aecio
599,g1.globo.com___politica_noticia_defesa-de-lula-quer-que-stf-conceda-prisao-domiciliar-se-pedido-de-liberdade-do-ex-presidente-for-rejeitado.ghtml.txt,3,g1,prisao-lula
600,g1.globo.com___politica_noticia_defesa-de-lula-recorre-de-decisao-de-fachin-e-pede-ao-stf-a-libertacao-de-ex-presidente.ghtml.txt,3,g1,prisao-lula
601,g1.globo.com___politica_noticia_defesa-faz-novo-pedido-ao-stf-para-tentar-evitar-prisao-de-lula.ghtml.txt,3,g1,prisao-lula
602,g1.globo.com___politica_noticia_fachin-nega-novo-pedido-de-lula-para-evitar-prisao.ghtml.txt,3,g1,prisao-lula
603,g1.globo.com___politica_noticia_grampo-da-pf-mostra-bronca-de-aecio-em-zeze-perrella-por-declaracao.ghtml.txt,0,g1,afastamento-aecio
604,g1.globo.com___politica_noticia_itens-da-reforma-trabalhista-sao-questionados-em-acoes-no-stf-saiba-quais.ghtml.txt,4,g1,reforma-trabalhista
605,g1.globo.com___politica_noticia_luiz-inacio-lula-da-silva-e-primeiro-ex-presidente-brasileiro-preso-por-crime-comum.ghtml.txt,5,g1,prisao-lula
606,g1.globo.com___politica_noticia_lula-tem-31-bolsonaro-15-marina-10-aponta-pesquisa-datafolha-para-2018.ghtml.txt,5,g1,prisao-lula
