url,subject,journal
"https://politica.estadao.com.br/noticias/geral,marina-silva-defende-que-parlamentares-do-rede-votem-pelo-impeachment-de-dilma,10000025763",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,senadores-falam-sobre-pedido-de-prisao-de-renan-pela-primeira-vez-na-comissao-do-impeachment,10000057008",impeachment-dilma,estadao
"https://economia.estadao.com.br/noticias/geral,suspensao-do-brasil-do-mercosul-em-caso-de-impeachment-pode-ser-estudada--diz-chanceler-argentina,10000022460",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,stf-define-que-rito-do-impeachment-no-senado-deve-ser-o-mesmo-usado-para-collor,10000027300",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,dilma-reune-senadores-contrarios-ao-impeachment-para-avaliar-chances-de-reverter-afastamento,10000052058",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,pdt-expulsara-seis-deputados-que-votaram-a-favor-do-impeachment,10000026829",impeachment-dilma,estadao
https://istoe.com.br/o-caminho-ate-o-impeachment-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/crise-politica-continua-no-brasil-apos-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/comeca-no-senado-sessao-de-pronuncia-do-processo-de-impeachment-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/relator-apresenta-nessa-terca-parecer-sobre-impeachment-de-dilma-rousseff/,impeachment-dilma,istoe
https://istoe.com.br/prisao-de-paulo-bernardo-enfraquece-dilma-na-comissao-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/dilma-se-apresentara-pessoalmente-no-julgamento-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/senado-instaura-processo-de-impeachment-e-dilma-e-afastada-da-presidencia/,impeachment-dilma,istoe
https://istoe.com.br/cunha-foi-protagonista-do-impeachment-temer-foi-coadjuvante-diz-dilma/,impeachment-dilma,istoe
https://istoe.com.br/em-dialogos-gravados-juca-sugere-que-impeachment-pode-deter-lava-jato/,impeachment-dilma,istoe
